"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"10721","83-ctrl",-9.88481069498843,4.60898414741869,22035,0.588541666666667,0.00141904966297049,0.0102848733138238,100,100
"5393","83-ctrl",-8.56756680962672,5.33527299875078,22093.5,0.590104166666667,0.00142533796047841,0.0103107725250962,100,100
"57511","83-ctrl",-16.7097695318981,3.39212439161194,21290,0.568643162393162,0.0014391327550109,0.0103779746609524,100,100
"83744","83-ctrl",-16.9993334737298,3.38363644925508,21232,0.567094017094017,0.00143897883153273,0.0103779746609524,100,100
"9328","83-ctrl",-12.6500155047287,4.51988482551586,21810,0.582532051282051,0.00145411234042463,0.0104626966870613,100,100
"23118","83-ctrl",-7.74812956009345,4.8203040507377,22133,0.591159188034188,0.00145506418301482,0.0104626966870613,100,100
"7013","83-ctrl",-10.015281568955,5.07096776272674,22009,0.587847222222222,0.00145319604226348,0.0104626966870613,100,100
"55831","83-ctrl",-10.1492759296992,5.24228673471306,21995,0.587473290598291,0.00146386539129254,0.0105013023241088,100,100
"3977","83-ctrl",-16.7186455931758,3.51550511614327,21274.5,0.568229166666667,0.00146505496903323,0.0105013023241088,100,100
"4650","83-ctrl",-14.7331412976166,4.18458483295302,21568,0.576068376068376,0.00146240566290243,0.0105013023241088,100,100
"146923","83-ctrl",-13.5955098634212,4.44399027300183,21705.5,0.579740918803419,0.00146175015999511,0.0105013023241088,100,100
"80209","47-ctrl",-15.5245907553035,5.47323196408359,3351,0.620555555555556,0.000201792698564951,0.0105214908000556,100,100
"84334","83-ctrl",-12.9292830064021,4.39433223937306,21781.5,0.581770833333333,0.00147647306883939,0.0105567060437584,100,100
"57696","83-ctrl",-11.2876463310564,5.26230246836248,21903.5,0.58502938034188,0.00147554452493109,0.0105567060437584,100,100
"27075","83-ctrl",-9.17737009836741,5.19707999095677,22054,0.589049145299145,0.00147856492859166,0.0105613178519456,100,100
"84620","83-ctrl",-17.2578316478682,3.1335022289104,21189,0.565945512820513,0.00148189416533527,0.0105742644342784,100,100
"79659","83-ctrl",-6.76546969284827,5.04696026426104,22159.5,0.591866987179487,0.00148520345930221,0.0105877152815382,100,100
"84164","83-ctrl",-15.2969428273645,3.78282308604157,21502,0.574305555555556,0.00149442500647049,0.0106323856920475,100,100
"7320","83-ctrl",-5.83331051090682,5.11131035964576,22185,0.592548076923077,0.00149818330853979,0.0106521030626284,100,100
"7159","83-ctrl",-7.90559716271626,5.8348949384414,22100.5,0.590291132478633,0.00150026829965016,0.0106599050415564,100,100
"23597","47-ctrl",-13.7953838321018,6.27005337512473,3420,0.633333333333333,0.000205539502974834,0.0106653262288817,100,100
"8452","47-ctrl",-1.91048322857844,3.11471933007502,3676,0.680740740740741,0.000212537641697219,0.0106693896132004,100,100
"54629","47-ctrl",-6.05339562811571,6.92517888378049,3632,0.672592592592593,0.00021114703036491,0.0106693896132004,100,100
"55320","47-ctrl",-6.80583063978202,6.15483372102586,3628,0.671851851851852,0.000210260795964675,0.0106693896132004,100,100
"81614","47-ctrl",-8.71843383407087,7.48341433930662,3576,0.662222222222222,0.000211117026680405,0.0106693896132004,100,100
"59274","83-ctrl",-15.8780070000309,3.64471170924048,21415,0.571981837606838,0.00151121276844909,0.0107235499078705,100,100
"5708","83-ctrl",-3.50565755810774,4.70006019976576,22226.5,0.593656517094017,0.00152014796994116,0.0107798666488666,100,100
"57697","83-ctrl",-13.9193139077611,3.83771648353814,21680,0.579059829059829,0.00152473847307836,0.0108053199868252,100,100
"1490","47-ctrl",-4.41367856378172,3.62762318960693,3664,0.678518518518519,0.000217475795306003,0.0108667419386004,100,100
"54148","83-ctrl",-12.4482959595834,4.85044000206248,21798,0.582211538461539,0.00154940218776656,0.0109728988271421,100,100
"25917","83-ctrl",-8.15275083195694,4.86234429575591,22095,0.590144230769231,0.00155365656440748,0.0109958133112459,100,100
"827","83-ctrl",-16.2455306484475,3.55674473041027,21347,0.570165598290598,0.00155805435530615,0.011014278555707,100,100
"5621","83-ctrl",-9.19328740427789,5.17708273400543,22038,0.588621794871795,0.00155830662045442,0.011014278555707,100,100
"84914","83-ctrl",-13.093451360606,4.22977215942532,21753.5,0.58102297008547,0.00156111140554748,0.0110268818063311,100,100
"10910","83-ctrl",-2.76815783120635,4.08493549031964,22227,0.593669871794872,0.00156527041007971,0.0110418062326734,100,100
"57704","83-ctrl",-16.5302928859055,3.56099786312317,21292,0.568696581196581,0.00156861632353665,0.0110509634333754,100,100
"5910","83-ctrl",-15.9757895433345,3.6828567773233,21385.5,0.57119391025641,0.00157226683478912,0.0110694559346895,100,100
"23378","83-ctrl",-17.5674808632762,3.11758666731788,21111.5,0.563875534188034,0.00158070773173741,0.0111216287800794,100,100
"91750","47-ctrl",-15.883040967986,5.11300828365763,3336.5,0.61787037037037,0.000223854673763296,0.0111339331517385,100,100
